week,start_date,total_pos,total_tested,pos_percent,adeno,covid-19,hmpv,rhino,inf_b,rsv,bor_par,bor_per,c_pneum,m_pneum,cov_total,flua_total,piv_total
40,9/28/2020,14,49,28.57142857,0,2,0,12,0,0,0,0,0,0,0,0,0
41,10/5/2020,9,51,17.64705882,2,1,0,6,0,0,0,0,0,0,0,0,0
42,10/12/2020,7,39,17.94871795,1,2,0,4,0,0,0,0,0,0,0,0,0
43,10/19/2020,12,35,34.28571429,2,2,0,8,0,0,0,0,0,0,0,0,0
44,10/26/2020,2,27,7.407407407,0,0,0,2,0,0,0,0,0,0,0,0,0
45,11/2/2020,11,30,36.66666667,1,1,0,9,0,0,0,0,0,0,0,0,0
46,11/9/2020,27,89,30.33707865,0,9,0,17,0,0,0,0,0,0,0,0,1
47,11/16/2020,34,117,29.05982906,0,3,0,31,0,0,0,0,0,0,0,0,0
48,11/23/2020,27,66,40.90909091,1,6,0,17,1,0,0,0,0,0,0,2,0
49,11/30/2020,32,100,32,0,16,0,16,0,0,0,0,0,0,0,0,0
50,12/7/2020,30,88,34.09090909,0,20,0,10,0,0,0,0,0,0,0,0,0
51,12/14/2020,25,64,39.0625,0,18,0,7,0,0,0,0,0,0,0,0,0
52,12/21/2020,14,32,43.75,0,12,0,2,0,0,0,0,0,0,0,0,0
53,12/28/2020,136,52,261.5384615,0,132,0,3,0,0,0,0,0,0,1,0,0
1,1/4/2021,150,36,416.6666667,0,142,0,8,0,0,0,0,0,0,0,0,0
2,1/11/2021,70,39,179.4871795,0,59,0,10,0,0,0,0,0,0,1,0,0
3,1/18/2021,11,34,32.35294118,0,11,0,0,0,0,0,0,0,0,0,0,0
4,1/25/2021,4,23,17.39130435,0,4,0,0,0,0,0,0,0,0,0,0,0
5,2/1/2021,5,44,11.36363636,0,5,0,0,0,0,0,0,0,0,0,0,0
6,2/8/2021,8,31,25.80645161,0,4,0,3,0,0,0,0,0,0,1,0,0
7,2/15/2021,11,20,55,1,8,0,2,0,0,0,0,0,0,0,0,0
8,2/22/2021,12,43,27.90697674,0,2,0,8,0,0,0,0,0,0,2,0,0
9,3/1/2021,5,24,20.83333333,0,1,0,4,0,0,0,0,0,0,0,0,0
10,3/8/2021,8,25,32,1,2,0,5,0,0,0,0,0,0,0,0,0
11,3/15/2021,8,32,25,0,0,0,8,0,0,0,0,0,0,0,0,0
12,3/22/2021,15,31,48.38709677,2,1,0,12,0,0,0,0,0,0,0,0,0
13,3/29/2021,4,32,12.5,0,3,0,0,0,0,0,0,0,0,1,0,0
14,4/5/2021,5,27,18.51851852,0,1,0,4,0,0,0,0,0,0,0,0,0
15,4/12/2021,14,40,35,0,0,0,11,0,0,0,0,0,0,3,0,0
16,4/19/2021,11,26,42.30769231,0,2,0,9,0,0,0,0,0,0,0,0,0
17,4/26/2021,14,27,51.85185185,0,0,0,9,0,3,0,0,0,0,2,0,0
18,5/3/2021,17,28,60.71428571,2,4,0,8,0,0,0,0,0,0,3,0,0
19,5/10/2021,21,39,53.84615385,1,0,0,17,0,1,0,0,0,0,2,0,0
20,5/17/2021,19,29,65.51724138,4,0,0,10,0,1,0,0,0,0,2,0,2
21,5/24/2021,24,45,53.33333333,1,0,0,16,0,1,0,0,0,0,2,0,4
22,5/31/2021,5,38,13.15789474,0,1,0,0,0,2,0,0,0,0,1,0,1
23,6/7/2021,18,41,43.90243902,0,1,0,9,0,1,0,0,0,0,3,0,4
24,6/14/2021,18,46,39.13043478,1,1,0,11,0,0,0,0,0,0,1,0,4
25,6/21/2021,24,47,51.06382979,1,4,0,13,0,0,0,0,0,0,5,0,1
26,6/28/2021,23,34,67.64705882,1,5,0,9,0,0,0,0,0,0,4,0,4
27,7/5/2021,41,52,78.84615385,1,6,0,21,0,0,0,0,0,0,5,0,8
28,7/12/2021,57,79,72.15189873,2,2,1,31,0,0,0,0,0,0,10,0,11
29,7/19/2021,60,96,62.5,1,3,0,39,0,1,0,0,0,0,8,0,8
30,7/26/2021,72,105,68.57142857,2,5,0,38,0,3,0,0,0,0,5,0,19
31,8/2/2021,89,134,66.41791045,5,23,0,30,0,3,0,0,0,0,2,0,26
32,8/9/2021,67,124,54.03225806,2,15,0,20,0,4,0,0,0,0,5,0,21
33,8/16/2021,88,133,66.16541353,3,34,0,31,0,3,0,0,0,0,5,0,12
34,8/23/2021,73,123,59.3495935,3,15,0,38,0,8,0,0,0,0,3,0,6
35,8/30/2021,136,175,77.71428571,4,10,0,95,0,8,0,0,0,0,6,0,13
36,9/6/2021,127,162,78.39506173,1,15,0,82,0,8,0,0,0,0,4,0,17
37,9/13/2021,124,152,81.57894737,2,27,0,56,0,15,0,0,0,0,4,0,20
38,9/20/2021,71,111,63.96396396,1,10,0,38,0,9,0,0,0,0,3,0,10
39,9/27/2021,96,138,69.56521739,6,13,0,50,0,6,0,0,0,0,3,0,18
40,10/4/2021,95,127,74.80314961,1,11,0,50,1,12,0,0,0,0,2,0,18
41,10/11/2021,127,162,78.39506173,2,14,0,77,0,13,0,0,0,0,0,1,20
42,10/18/2021,98,132,74.24242424,2,13,1,47,1,12,0,0,0,0,6,0,16
43,10/25/2021,95,124,76.61290323,3,16,0,44,4,13,0,0,0,0,0,6,9
44,11/1/2021,96,119,80.67226891,6,11,0,50,1,10,0,0,0,0,6,0,12
45,11/8/2021,80,121,66.11570248,6,11,0,31,0,14,0,0,0,0,4,0,14
46,11/15/2021,82,132,62.12121212,0,9,0,36,0,19,0,0,0,0,4,0,14
47,11/22/2021,84,95,88.42105263,5,8,1,33,1,17,0,0,0,0,6,0,13
48,11/29/2021,112,137,81.75182482,5,20,3,49,0,20,0,0,0,0,3,1,11
49,12/6/2021,147,182,80.76923077,10,19,6,57,0,31,0,0,0,0,7,2,15
50,12/13/2021,90,123,73.17073171,0,9,1,47,0,25,0,0,0,0,2,0,6
51,12/20/2021,117,167,70.05988024,4,30,2,37,0,27,0,0,0,0,7,2,8
52,12/27/2021,182,229,79.47598253,6,63,4,50,0,40,0,0,0,0,10,1,8
1,1/3/2022,150,213,70.42253521,4,86,0,33,0,24,0,0,0,0,0,2,1
2,1/10/2022,126,164,76.82926829,4,84,3,15,0,15,0,0,0,0,3,0,2
3,1/17/2022,72,96,75,2,51,1,10,0,7,0,0,0,0,1,0,0
4,1/24/2022,32,51,62.74509804,1,27,0,2,0,1,0,0,0,0,0,0,1
5,1/31/2022,14,20,70,0,7,0,4,0,3,0,0,0,0,0,0,0
6,2/7/2022,16,23,69.56521739,3,5,0,5,0,3,0,0,0,0,0,0,0
7,2/14/2022,25,45,55.55555556,2,11,1,6,0,0,0,0,0,0,4,0,1
8,2/21/2022,34,42,80.95238095,2,14,3,12,0,2,0,0,0,0,0,0,1
9,2/28/2022,32,39,82.05128205,1,14,4,9,0,1,0,0,0,0,2,0,1
10,3/7/2022,32,48,66.66666667,2,8,3,14,0,2,0,0,0,0,2,1,0
11,3/14/2022,36,50,72,2,10,1,19,0,1,0,0,0,0,2,0,1
12,3/21/2022,40,51,78.43137255,4,4,1,22,0,0,0,0,0,0,9,0,0
13,3/28/2022,45,57,78.94736842,4,3,1,29,0,0,0,0,0,0,6,0,2
14,4/4/2022,40,71,56.33802817,3,5,2,18,0,2,0,0,0,0,7,3,0
15,4/11/2022,31,48,64.58333333,5,2,2,15,0,0,0,0,0,0,5,0,2
16,4/18/2022,37,50,74,2,3,5,9,0,2,0,0,0,0,3,7,6
17,4/25/2022,29,23,126.0869565,0,11,1,6,0,0,0,0,0,0,3,2,6
18,5/2/2022,60,65,92.30769231,3,15,4,16,0,2,0,0,0,0,11,5,4
19,5/9/2022,112,131,85.49618321,5,31,6,34,0,0,0,0,0,0,16,11,9
20,5/16/2022,114,116,98.27586207,8,35,12,28,0,0,0,0,0,0,14,10,7
21,5/23/2022,115,131,87.78625954,6,35,11,29,0,0,0,0,0,0,17,11,6
22,5/30/2022,125,148,84.45945946,6,57,7,28,0,0,0,0,0,0,10,8,9
23,6/6/2022,129,158,81.64556962,7,61,10,19,0,0,0,0,0,0,16,7,9
24,6/13/2022,95,109,87.1559633,5,42,6,15,0,1,0,0,0,0,9,5,12
25,6/20/2022,89,114,78.07017544,5,41,9,12,0,1,0,0,0,0,6,3,12
26,6/27/2022,107,135,79.25925926,7,58,12,17,0,0,0,0,0,0,4,3,6
27,7/4/2022,74,85,87.05882353,3,48,6,7,0,0,0,0,0,0,2,1,7
28,7/11/2022,83,89,93.25842697,3,55,5,9,0,0,0,0,0,0,2,3,6
29,7/18/2022,73,90,81.11111111,1,46,4,8,0,0,0,0,0,0,1,1,12
30,7/25/2022,85,88,96.59090909,2,52,5,16,0,0,0,0,0,0,1,0,9
31,8/1/2022,81,92,88.04347826,2,56,3,14,0,0,0,0,0,0,1,1,4
32,8/8/2022,68,80,85,9,42,2,8,0,0,0,0,0,0,1,0,6
33,8/15/2022,43,68,63.23529412,1,23,0,15,0,1,0,0,0,0,0,0,3
34,8/22/2022,106,129,82.17054264,4,38,1,52,0,2,0,0,0,0,0,1,8
35,8/29/2022,113,125,90.4,4,22,1,63,0,8,0,0,0,0,0,6,9
36,9/5/2022,110,134,82.08955224,2,27,4,53,0,5,0,0,0,0,0,6,13
37,9/12/2022,81,125,64.8,5,11,0,40,0,5,0,0,0,0,0,7,13
38,9/19/2022,71,102,69.60784314,1,15,1,36,1,5,0,0,0,0,0,1,11
39,9/26/2022,65,91,71.42857143,1,10,1,29,0,9,0,0,0,0,1,1,13
40,10/3/2022,96,131,73.28244275,4,7,1,59,0,3,0,0,0,0,0,6,16
41,10/10/2022,89,136,65.44117647,5,6,2,46,0,12,0,0,0,0,0,6,12
42,10/17/2022,161,191,84.29319372,10,3,3,69,0,25,0,0,0,0,0,17,34
43,10/24/2022,130,161,80.74534161,7,4,2,37,0,29,0,0,0,0,0,17,34
44,10/31/2022,189,208,90.86538462,5,6,10,59,1,43,0,0,0,0,3,26,36
45,11/7/2022,196,240,81.66666667,3,12,6,39,0,64,0,0,0,0,2,38,32
46,11/14/2022,233,274,85.03649635,10,5,7,57,0,68,0,0,0,0,3,66,17
47,11/21/2022,259,288,89.93055556,12,23,10,38,0,35,0,0,0,0,4,118,19
48,11/28/2022,160,196,81.63265306,9,28,3,24,1,21,0,0,0,0,2,67,5
49,12/5/2022,47,44,106.8181818,2,5,3,6,0,3,0,0,0,0,2,23,3
50,12/12/2022,45,55,81.81818182,1,6,2,11,0,4,0,0,0,0,0,19,2
51,12/19/2022,13,19,68.42105263,0,1,0,0,0,2,0,0,0,0,1,6,3
52,12/26/2022,24,32,75,0,4,1,7,0,3,0,0,0,0,2,6,1
1,1/2/2023,32,34,94.11764706,2,5,3,8,0,7,0,0,0,0,1,2,4
2,1/9/2023,8,22,36.36363636,0,0,2,1,0,1,0,0,0,0,2,0,2
3,1/16/2023,18,38,47.36842105,2,2,3,0,0,5,0,0,0,0,3,0,3
4,1/23/2023,38,63,60.31746032,2,4,5,15,0,2,0,0,0,0,8,0,2
5,1/30/2023,99,120,82.5,8,4,12,42,0,3,0,0,0,0,27,0,3
6,2/6/2023,94,143,65.73426573,5,9,12,41,0,1,0,0,0,0,25,0,1
7,2/13/2023,53,69,76.8115942,4,2,12,18,1,0,0,0,0,0,14,0,2
8,2/20/2023,67,99,67.67676768,9,5,9,23,0,3,0,0,0,0,14,0,4
9,2/27/2023,50,106,47.16981132,3,2,8,27,1,0,0,0,0,0,7,0,2
10,3/6/2023,72,113,63.71681416,4,5,10,26,1,3,2,0,0,0,18,1,2
11,3/13/2023,60,98,61.2244898,2,8,20,16,0,0,1,0,0,0,8,0,5
12,3/20/2023,70,132,53.03030303,5,6,5,31,0,1,0,0,0,0,12,3,7
13,3/27/2023,75,146,51.36986301,6,7,8,33,0,0,2,0,0,0,13,0,6
14,4/3/2023,83,129,64.34108527,9,11,5,37,0,0,0,0,0,0,11,0,10
15,4/10/2023,86,144,59.72222222,8,9,12,32,0,0,1,0,0,0,16,0,8
16,4/17/2023,62,134,46.26865672,10,1,5,26,0,0,0,0,0,0,12,0,8
17,4/24/2023,91,159,57.2327044,11,11,11,35,0,0,3,0,0,0,7,0,13
18,5/1/2023,76,125,60.8,10,3,4,39,0,0,3,0,0,0,6,0,11
19,5/8/2023,89,150,59.33333333,13,7,3,45,0,0,0,0,0,0,4,1,16
20,5/15/2023,77,140,55,13,2,3,39,0,0,3,0,0,0,6,0,11
21,5/22/2023,95,171,55.55555556,29,4,3,42,0,0,3,0,0,0,2,0,12
22,5/29/2023,94,166,56.62650602,22,10,1,39,0,0,3,0,0,0,4,0,15
23,6/5/2023,123,171,71.92982456,42,7,6,37,0,0,3,0,0,0,10,0,18
24,6/12/2023,73,131,55.72519084,23,3,2,24,1,0,1,0,0,0,3,1,15
25,6/19/2023,91,140,65,33,5,2,21,1,1,5,0,0,0,3,1,19
26,6/26/2023,48,95,50.52631579,20,5,1,13,1,0,4,0,0,0,0,0,4
27,7/3/2023,56,109,51.37614679,17,12,1,12,0,0,2,0,0,0,1,3,8
28,7/10/2023,30,74,40.54054054,11,4,0,7,0,0,3,0,0,0,0,0,5
29,7/17/2023,39,99,39.39393939,14,8,1,8,0,1,2,0,0,0,2,0,3
30,7/24/2023,38,72,52.77777778,7,6,0,17,2,0,4,0,0,0,1,0,1
31,7/31/2023,37,94,39.36170213,5,18,0,11,0,0,0,0,0,0,0,0,3
32,8/7/2023,42,95,44.21052632,5,17,0,11,0,0,0,0,0,0,0,1,8
33,8/14/2023,34,70,48.57142857,0,9,1,13,0,2,2,0,0,0,0,0,7
34,8/21/2023,49,97,50.51546392,1,28,0,18,0,0,0,0,0,0,1,0,1
35,8/28/2023,66,131,50.38167939,0,21,0,34,0,0,2,0,0,0,0,1,8
36,9/4/2023,62,100,62,1,20,1,35,0,1,0,0,0,0,1,1,2
37,9/11/2023,41,88,46.59090909,2,8,0,26,0,2,0,0,0,0,0,0,3
38,9/18/2023,49,112,43.75,0,12,2,30,0,0,0,0,0,0,2,0,3
39,9/25/2023,70,133,52.63157895,4,15,2,35,0,6,0,0,0,0,0,0,8
40,10/2/2023,76,123,61.78861789,3,14,1,40,1,3,0,0,0,0,0,1,13
41,10/9/2023,72,126,57.14285714,3,11,2,39,0,6,0,0,0,0,1,0,10
42,10/16/2023,88,147,59.86394558,0,6,3,43,2,15,0,0,0,0,0,0,19
43,10/23/2023,85,138,61.5942029,3,8,3,38,1,15,0,0,0,0,0,1,16
44,10/30/2023,107,170,62.94117647,3,6,8,43,0,29,0,0,0,0,0,2,16
45,11/6/2023,108,164,65.85365854,3,8,4,39,2,35,0,0,0,0,0,7,10
46,11/13/2023,130,188,69.14893617,3,6,6,42,1,45,0,0,0,0,0,8,19
47,11/20/2023,96,160,60,2,5,2,28,2,38,0,0,0,0,1,7,11
48,11/27/2023,141,202,69.8019802,2,11,5,30,3,48,0,0,0,0,3,30,9
49,12/4/2023,106,191,55.4973822,0,9,6,26,2,33,0,0,0,0,2,21,7
50,12/11/2023,122,200,61,1,12,5,36,4,20,0,0,0,0,1,40,3
51,12/18/2023,177,240,73.75,1,18,15,34,2,16,2,0,0,0,9,74,6
52,12/25/2023,183,231,79.22077922,1,21,9,38,1,16,0,0,0,0,10,72,15
1,1/2/2023,84,154,54.54545455,2,6,8,28,2,10,1,0,0,0,2,22,3
2,1/8/2024,75,156,48.07692308,0,6,6,18,3,19,0,0,0,0,5,14,4
3,1/15/2024,83,151,54.96688742,4,22,3,14,1,9,0,0,0,0,11,18,1
4,1/22/2024,91,161,56.52173913,5,17,3,21,9,8,0,0,0,0,15,10,3
5,1/29/2024,88,164,53.65853659,4,11,4,23,16,2,0,0,0,1,13,12,3
6,2/5/2024,71,133,53.38345865,5,8,9,26,1,8,0,0,0,0,5,7,2
7,2/12/2024,69,139,49.64028777,4,7,6,32,2,3,0,0,0,0,10,4,1
8,2/19/2024,22,50,44,2,4,2,9,0,0,0,0,0,1,2,0,2
9,2/26/2024,38,88,43.18181818,6,3,1,15,2,2,0,0,0,0,6,3,0
10,3/4/2024,16,26,61.53846154,0,1,1,9,1,0,0,1,0,0,1,0,2
11,3/11/2024,61,134,45.52238806,5,4,8,21,3,3,0,0,0,0,6,5,6
12,3/18/2024,59,94,62.76595745,5,1,1,28,2,3,1,0,0,0,9,2,7
13,3/25/2024,34,66,51.51515152,4,0,2,18,0,0,0,0,0,0,5,0,5
14,4/1/2024,44,81,54.32098765,0,2,1,18,1,2,0,0,0,1,7,2,10
15,4/8/2024,75,132,56.81818182,7,8,5,26,4,2,0,0,0,0,10,2,11
16,4/15/2024,51,84,60.71428571,3,2,8,21,2,0,0,0,0,1,5,0,9
17,4/22/2024,88,124,70.96774194,6,4,11,38,0,0,0,0,0,0,9,4,15
18,4/29/2024,73,116,62.93103448,2,4,9,32,0,1,0,0,0,1,11,2,11
19,5/6/2024,93,181,51.38121547,10,5,5,50,0,0,0,0,0,0,4,0,20
20,5/13/2024,70,128,54.6875,5,3,4,35,1,1,0,0,0,0,4,1,16
21,5/20/2024,95,149,63.75838926,4,11,1,51,1,1,1,0,0,0,5,0,20
22,5/27/2024,61,94,64.89361702,1,9,6,30,2,1,1,0,0,1,1,1,8
23,6/3/2024,36,50,72,2,4,4,18,0,1,0,0,0,0,1,1,5
24,6/10/2024,14,38,36.84210526,1,4,1,5,0,0,0,0,0,0,1,1,1
25,6/17/2024,34,60,56.66666667,3,7,0,18,0,0,0,0,0,0,0,1,5
26,6/24/2024,22,49,44.89795918,2,9,1,7,0,0,0,1,0,0,0,0,2
27,7/1/2024,11,41,26.82926829,2,0,1,0,1,0,0,1,0,0,5,0,1
28,7/8/2024,30,53,56.60377358,5,10,0,9,0,0,1,0,0,2,0,0,3
29,7/15/2024,28,69,40.57971014,3,14,0,9,1,0,0,0,0,1,0,0,0
30,7/22/2024,22,52,42.30769231,0,10,1,3,0,0,0,0,0,3,2,1,2
31,7/29/2024,25,73,34.24657534,1,16,0,7,0,0,0,0,0,0,0,0,1
32,8/5/2024,27,68,39.70588235,3,14,0,7,0,0,0,0,0,0,1,1,1
33,8/12/2024,29,67,43.28358209,3,17,0,4,0,0,0,0,0,0,1,1,3
34,8/19/2024,38,90,42.22222222,1,20,0,12,0,0,0,0,1,0,3,0,1
35,8/26/2024,34,71,47.88732394,0,12,0,15,0,2,0,0,0,1,3,0,1
36,9/2/2024,51,97,52.57731959,2,8,0,31,0,1,0,0,1,0,5,0,3
37,9/9/2024,50,89,56.17977528,0,10,1,27,0,0,0,0,1,0,8,1,2
38,9/16/2024,28,65,43.07692308,1,4,0,13,0,1,0,0,0,1,6,1,1
39,9/23/2024,44,87,50.57471264,3,7,1,23,0,1,0,0,0,0,5,0,4
40,9/30/2024,44,82,53.65853659,4,2,0,22,0,0,0,0,0,0,8,5,3
41,10/7/2024,44,98,44.89795918,2,4,0,25,1,0,0,0,0,0,3,6,3
42,10/14/2024,46,102,45.09803922,1,3,1,27,1,0,0,0,1,0,3,4,5
